stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6833,0.0201
0.0,conformal_risk_filter,0.7179,0.0167
0.0,proposed_branch_mechanism,0.7538,0.0217
0.0,oracle_branch_upper_bound,0.8233,0.0190
0.2,scalar_uncertainty_planner,0.6240,0.0149
0.2,conformal_risk_filter,0.6743,0.0200
0.2,proposed_branch_mechanism,0.7290,0.0222
0.2,oracle_branch_upper_bound,0.8002,0.0180
0.4,scalar_uncertainty_planner,0.5724,0.0158
0.4,conformal_risk_filter,0.6221,0.0224
0.4,proposed_branch_mechanism,0.6962,0.0224
0.4,oracle_branch_upper_bound,0.7788,0.0156
0.6,scalar_uncertainty_planner,0.5183,0.0186
0.6,conformal_risk_filter,0.5786,0.0242
0.6,proposed_branch_mechanism,0.6650,0.0249
0.6,oracle_branch_upper_bound,0.7590,0.0185
0.8,scalar_uncertainty_planner,0.4610,0.0192
0.8,conformal_risk_filter,0.5355,0.0293
0.8,proposed_branch_mechanism,0.6400,0.0203
0.8,oracle_branch_upper_bound,0.7393,0.0189
1.0,scalar_uncertainty_planner,0.4045,0.0227
1.0,conformal_risk_filter,0.4864,0.0304
1.0,proposed_branch_mechanism,0.6105,0.0206
1.0,oracle_branch_upper_bound,0.7190,0.0190
