split,reference,metric,mean_diff,ci95_diff,seeds
balanced_nominal,active_perception_value,task_success,0.14031,0.02143,7
balanced_nominal,active_perception_value,critical_event_recall,0.13251,0.00602,7
balanced_nominal,active_perception_value,wasted_attention,-0.11273,0.00611,7
balanced_nominal,active_perception_value,compute_cost,-0.02380,0.01315,7
balanced_nominal,active_perception_value,latency_violation,-0.04252,0.02589,7
balanced_nominal,active_perception_value,safety_violation,-0.02551,0.01740,7
balanced_nominal,active_perception_value,physical_regret,-0.06178,0.00165,7
balanced_nominal,active_perception_value,calibration_error,0.00300,0.00105,7
balanced_nominal,compute_adaptive_policy,task_success,0.37245,0.03868,7
balanced_nominal,compute_adaptive_policy,critical_event_recall,0.38472,0.00513,7
balanced_nominal,compute_adaptive_policy,wasted_attention,-0.40122,0.00801,7
balanced_nominal,compute_adaptive_policy,compute_cost,-0.01152,0.00883,7
balanced_nominal,compute_adaptive_policy,latency_violation,-0.04677,0.02639,7
balanced_nominal,compute_adaptive_policy,safety_violation,-0.13860,0.02329,7
balanced_nominal,compute_adaptive_policy,physical_regret,-0.23869,0.00377,7
balanced_nominal,compute_adaptive_policy,calibration_error,0.03889,0.00216,7
balanced_nominal,oracle_consequence_attention,task_success,0.00255,0.03116,7
balanced_nominal,oracle_consequence_attention,critical_event_recall,-0.01617,0.00606,7
balanced_nominal,oracle_consequence_attention,wasted_attention,0.01664,0.00738,7
balanced_nominal,oracle_consequence_attention,compute_cost,-0.01090,0.00876,7
balanced_nominal,oracle_consequence_attention,latency_violation,-0.02466,0.01995,7
balanced_nominal,oracle_consequence_attention,safety_violation,0.00935,0.01627,7
balanced_nominal,oracle_consequence_attention,physical_regret,0.00854,0.00170,7
balanced_nominal,oracle_consequence_attention,calibration_error,0.00116,0.00082,7
balanced_nominal,risk_aware_attention,task_success,0.10969,0.02050,7
balanced_nominal,risk_aware_attention,critical_event_recall,0.12000,0.00678,7
balanced_nominal,risk_aware_attention,wasted_attention,-0.10567,0.00762,7
balanced_nominal,risk_aware_attention,compute_cost,-0.02952,0.01746,7
balanced_nominal,risk_aware_attention,latency_violation,-0.05612,0.02787,7
balanced_nominal,risk_aware_attention,safety_violation,-0.01276,0.01558,7
balanced_nominal,risk_aware_attention,physical_regret,-0.05412,0.00226,7
balanced_nominal,risk_aware_attention,calibration_error,0.00066,0.00114,7
balanced_nominal,token_salience_transformer,task_success,0.70323,0.00967,7
balanced_nominal,token_salience_transformer,critical_event_recall,0.72541,0.00814,7
balanced_nominal,token_salience_transformer,wasted_attention,-0.72622,0.01215,7
balanced_nominal,token_salience_transformer,compute_cost,-0.04770,0.01251,7
balanced_nominal,token_salience_transformer,latency_violation,-0.07993,0.02413,7
balanced_nominal,token_salience_transformer,safety_violation,-0.28656,0.03382,7
balanced_nominal,token_salience_transformer,physical_regret,-0.53685,0.00648,7
balanced_nominal,token_salience_transformer,calibration_error,0.09686,0.00302,7
balanced_nominal,uncertainty_attention,task_success,0.60544,0.02654,7
balanced_nominal,uncertainty_attention,critical_event_recall,0.60644,0.01317,7
balanced_nominal,uncertainty_attention,wasted_attention,-0.58339,0.01557,7
balanced_nominal,uncertainty_attention,compute_cost,-0.06780,0.01250,7
balanced_nominal,uncertainty_attention,latency_violation,-0.15391,0.03989,7
balanced_nominal,uncertainty_attention,safety_violation,-0.23809,0.02468,7
balanced_nominal,uncertainty_attention,physical_regret,-0.40013,0.00887,7
balanced_nominal,uncertainty_attention,calibration_error,0.07277,0.00310,7
balanced_nominal,uniform_attention_budget,task_success,0.58674,0.02143,7
balanced_nominal,uniform_attention_budget,critical_event_recall,0.60154,0.01316,7
balanced_nominal,uniform_attention_budget,wasted_attention,-0.60006,0.02010,7
balanced_nominal,uniform_attention_budget,compute_cost,-0.01866,0.00990,7
balanced_nominal,uniform_attention_budget,latency_violation,-0.03656,0.03485,7
balanced_nominal,uniform_attention_budget,safety_violation,-0.24065,0.04072,7
balanced_nominal,uniform_attention_budget,physical_regret,-0.40419,0.00825,7
balanced_nominal,uniform_attention_budget,calibration_error,0.07204,0.00245,7
combined_hard_shift,active_perception_value,task_success,0.06378,0.03950,7
combined_hard_shift,active_perception_value,critical_event_recall,0.05647,0.00489,7
combined_hard_shift,active_perception_value,wasted_attention,-0.05552,0.00316,7
combined_hard_shift,active_perception_value,compute_cost,0.00240,0.01337,7
combined_hard_shift,active_perception_value,latency_violation,0.02126,0.02799,7
combined_hard_shift,active_perception_value,safety_violation,-0.03146,0.03534,7
combined_hard_shift,active_perception_value,physical_regret,-0.04649,0.00169,7
combined_hard_shift,active_perception_value,calibration_error,0.00841,0.00179,7
combined_hard_shift,compute_adaptive_policy,task_success,0.27041,0.02002,7
combined_hard_shift,compute_adaptive_policy,critical_event_recall,0.24502,0.00699,7
combined_hard_shift,compute_adaptive_policy,wasted_attention,-0.41051,0.00838,7
combined_hard_shift,compute_adaptive_policy,compute_cost,-0.00608,0.01880,7
combined_hard_shift,compute_adaptive_policy,latency_violation,-0.02721,0.03043,7
combined_hard_shift,compute_adaptive_policy,safety_violation,-0.09949,0.04189,7
combined_hard_shift,compute_adaptive_policy,physical_regret,-0.25706,0.00352,7
