split,method,metric,mean,ci95,seeds,rows_per_seed
balanced_nominal,active_perception_value,task_success,0.71429,0.01247,7,168
balanced_nominal,active_perception_value,critical_event_recall,0.68151,0.01054,7,168
balanced_nominal,active_perception_value,wasted_attention,0.27450,0.00644,7,168
balanced_nominal,active_perception_value,compute_cost,4.08906,0.00916,7,168
balanced_nominal,active_perception_value,latency_violation,0.41327,0.03075,7,168
balanced_nominal,active_perception_value,safety_violation,0.06293,0.01244,7,168
balanced_nominal,active_perception_value,physical_regret,0.10649,0.00263,7,168
balanced_nominal,active_perception_value,calibration_error,0.13298,0.00126,7,168
balanced_nominal,compute_adaptive_policy,task_success,0.48214,0.03149,7,168
balanced_nominal,compute_adaptive_policy,critical_event_recall,0.42930,0.01114,7,168
balanced_nominal,compute_adaptive_policy,wasted_attention,0.56299,0.01125,7,168
balanced_nominal,compute_adaptive_policy,compute_cost,4.07678,0.00757,7,168
balanced_nominal,compute_adaptive_policy,latency_violation,0.41752,0.01232,7,168
balanced_nominal,compute_adaptive_policy,safety_violation,0.17602,0.02386,7,168
balanced_nominal,compute_adaptive_policy,physical_regret,0.28340,0.00522,7,168
balanced_nominal,compute_adaptive_policy,calibration_error,0.09709,0.00183,7,168
balanced_nominal,embodied_consequence_budgeting,task_success,0.85459,0.01566,7,168
balanced_nominal,embodied_consequence_budgeting,critical_event_recall,0.81402,0.00845,7,168
balanced_nominal,embodied_consequence_budgeting,wasted_attention,0.16178,0.01101,7,168
balanced_nominal,embodied_consequence_budgeting,compute_cost,4.06526,0.01036,7,168
balanced_nominal,embodied_consequence_budgeting,latency_violation,0.37075,0.02186,7,168
balanced_nominal,embodied_consequence_budgeting,safety_violation,0.03741,0.01411,7,168
balanced_nominal,embodied_consequence_budgeting,physical_regret,0.04470,0.00238,7,168
balanced_nominal,embodied_consequence_budgeting,calibration_error,0.13598,0.00183,7,168
balanced_nominal,oracle_consequence_attention,task_success,0.85204,0.02394,7,168
balanced_nominal,oracle_consequence_attention,critical_event_recall,0.83019,0.00647,7,168
balanced_nominal,oracle_consequence_attention,wasted_attention,0.14514,0.00838,7,168
balanced_nominal,oracle_consequence_attention,compute_cost,4.07617,0.01150,7,168
balanced_nominal,oracle_consequence_attention,latency_violation,0.39541,0.01986,7,168
balanced_nominal,oracle_consequence_attention,safety_violation,0.02806,0.01009,7,168
balanced_nominal,oracle_consequence_attention,physical_regret,0.03616,0.00139,7,168
balanced_nominal,oracle_consequence_attention,calibration_error,0.13483,0.00123,7,168
balanced_nominal,risk_aware_attention,task_success,0.74490,0.01536,7,168
balanced_nominal,risk_aware_attention,critical_event_recall,0.69402,0.01113,7,168
balanced_nominal,risk_aware_attention,wasted_attention,0.26744,0.00868,7,168
balanced_nominal,risk_aware_attention,compute_cost,4.09478,0.01491,7,168
balanced_nominal,risk_aware_attention,latency_violation,0.42687,0.03020,7,168
balanced_nominal,risk_aware_attention,safety_violation,0.05017,0.01217,7,168
balanced_nominal,risk_aware_attention,physical_regret,0.09882,0.00288,7,168
balanced_nominal,risk_aware_attention,calibration_error,0.13533,0.00127,7,168
balanced_nominal,token_salience_transformer,task_success,0.15136,0.02143,7,168
balanced_nominal,token_salience_transformer,critical_event_recall,0.08861,0.00550,7,168
balanced_nominal,token_salience_transformer,wasted_attention,0.88800,0.00634,7,168
balanced_nominal,token_salience_transformer,compute_cost,4.11296,0.00758,7,168
balanced_nominal,token_salience_transformer,latency_violation,0.45068,0.02809,7,168
balanced_nominal,token_salience_transformer,safety_violation,0.32398,0.02607,7,168
balanced_nominal,token_salience_transformer,physical_regret,0.58155,0.00651,7,168
balanced_nominal,token_salience_transformer,calibration_error,0.03913,0.00160,7,168
balanced_nominal,uncertainty_attention,task_success,0.24915,0.02211,7,168
balanced_nominal,uncertainty_attention,critical_event_recall,0.20758,0.01686,7,168
balanced_nominal,uncertainty_attention,wasted_attention,0.74517,0.01465,7,168
balanced_nominal,uncertainty_attention,compute_cost,4.13307,0.00932,7,168
balanced_nominal,uncertainty_attention,latency_violation,0.52466,0.03429,7,168
balanced_nominal,uncertainty_attention,safety_violation,0.27551,0.01883,7,168
balanced_nominal,uncertainty_attention,physical_regret,0.44483,0.00970,7,168
balanced_nominal,uncertainty_attention,calibration_error,0.06321,0.00169,7,168
balanced_nominal,uniform_attention_budget,task_success,0.26786,0.02277,7,168
balanced_nominal,uniform_attention_budget,critical_event_recall,0.21248,0.01078,7,168
balanced_nominal,uniform_attention_budget,wasted_attention,0.76183,0.01055,7,168
balanced_nominal,uniform_attention_budget,compute_cost,4.08392,0.00641,7,168
balanced_nominal,uniform_attention_budget,latency_violation,0.40731,0.02261,7,168
balanced_nominal,uniform_attention_budget,safety_violation,0.27806,0.03479,7,168
balanced_nominal,uniform_attention_budget,physical_regret,0.44890,0.00806,7,168
balanced_nominal,uniform_attention_budget,calibration_error,0.06395,0.00096,7,168
combined_hard_shift,active_perception_value,task_success,0.62925,0.03073,7,168
