ablation,task_success,ci95_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret
full_embodied_consequence_budgeting,0.69303,0.02890,0.56165,0.06226,3.32467,0.32483,0.16327,0.10547
minus_physical_consequence_estimator,0.23214,0.02658,0.16467,0.67321,3.33531,0.31378,0.34183,0.50654
minus_action_critical_contact_map,0.70493,0.04080,0.53279,0.09082,3.32009,0.31378,0.15391,0.13123
minus_compute_latency_constraint,0.68878,0.02273,0.55663,0.04912,3.32106,0.31463,0.15561,0.10390
minus_safety_hazard_term,0.69473,0.02156,0.54475,0.07513,3.32686,0.31888,0.19218,0.12135
token_salience_only_budget,0.06293,0.01045,0.02441,0.95167,3.34274,0.32993,0.41667,0.73901
uncertainty_only_budget,0.22704,0.02091,0.14852,0.69594,3.35923,0.34014,0.33163,0.53448
