split,task,seed,episode,method,selected_tokens,critical_tokens,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
combined_hard_shift,cluttered_pick_hidden_support,0,0,full_embodied_consequence_budgeting,4,7,1.00000,0.57143,0.00000,3.40031,0.00000,0.00000,0.09196,0.18317
combined_hard_shift,cluttered_pick_hidden_support,0,0,minus_physical_consequence_estimator,4,7,1.00000,0.14286,0.75000,3.66220,0.00000,1.00000,0.52248,0.08345
combined_hard_shift,cluttered_pick_hidden_support,0,0,minus_action_critical_contact_map,4,7,1.00000,0.57143,0.00000,3.53059,0.00000,1.00000,0.10208,0.18174
combined_hard_shift,cluttered_pick_hidden_support,0,0,minus_compute_latency_constraint,4,7,1.00000,0.57143,0.00000,3.40031,0.00000,0.00000,0.09196,0.18317
combined_hard_shift,cluttered_pick_hidden_support,0,0,minus_safety_hazard_term,4,7,1.00000,0.57143,0.00000,3.40031,0.00000,0.00000,0.09196,0.18317
combined_hard_shift,cluttered_pick_hidden_support,0,0,token_salience_only_budget,4,7,0.00000,0.14286,0.75000,3.80681,1.00000,0.00000,0.53230,0.06682
combined_hard_shift,cluttered_pick_hidden_support,0,0,uncertainty_only_budget,4,7,0.00000,0.28571,0.50000,3.73634,1.00000,0.00000,0.32118,0.11548
combined_hard_shift,cluttered_pick_hidden_support,0,1,full_embodied_consequence_budgeting,4,8,1.00000,0.50000,0.00000,3.65655,0.00000,0.00000,0.13029,0.16505
combined_hard_shift,cluttered_pick_hidden_support,0,1,minus_physical_consequence_estimator,4,8,0.00000,0.12500,0.75000,3.67178,0.00000,0.00000,0.53479,0.07545
combined_hard_shift,cluttered_pick_hidden_support,0,1,minus_action_critical_contact_map,4,8,1.00000,0.50000,0.00000,3.84135,1.00000,0.00000,0.11040,0.15384
combined_hard_shift,cluttered_pick_hidden_support,0,1,minus_compute_latency_constraint,4,8,0.00000,0.50000,0.00000,3.84135,1.00000,0.00000,0.11040,0.15384
combined_hard_shift,cluttered_pick_hidden_support,0,1,minus_safety_hazard_term,4,8,1.00000,0.50000,0.00000,3.84135,1.00000,0.00000,0.11040,0.15384
combined_hard_shift,cluttered_pick_hidden_support,0,1,token_salience_only_budget,3,8,0.00000,0.12500,0.66667,3.25483,0.00000,0.00000,0.51440,0.09479
combined_hard_shift,cluttered_pick_hidden_support,0,1,uncertainty_only_budget,4,8,0.00000,0.12500,0.75000,3.80526,1.00000,0.00000,0.54989,0.05824
combined_hard_shift,cluttered_pick_hidden_support,0,2,full_embodied_consequence_budgeting,4,7,1.00000,0.57143,0.00000,3.74208,1.00000,0.00000,0.09218,0.18600
combined_hard_shift,cluttered_pick_hidden_support,0,2,minus_physical_consequence_estimator,4,7,1.00000,0.28571,0.50000,3.71725,1.00000,0.00000,0.44949,0.10471
combined_hard_shift,cluttered_pick_hidden_support,0,2,minus_action_critical_contact_map,4,7,1.00000,0.57143,0.00000,3.74208,1.00000,1.00000,0.09218,0.18600
combined_hard_shift,cluttered_pick_hidden_support,0,2,minus_compute_latency_constraint,4,7,0.00000,0.57143,0.00000,3.74208,1.00000,0.00000,0.09218,0.18600
combined_hard_shift,cluttered_pick_hidden_support,0,2,minus_safety_hazard_term,4,7,0.00000,0.57143,0.00000,3.74208,1.00000,0.00000,0.09218,0.18600
combined_hard_shift,cluttered_pick_hidden_support,0,2,token_salience_only_budget,4,7,0.00000,0.00000,1.00000,3.74352,1.00000,1.00000,0.79481,0.00000
combined_hard_shift,cluttered_pick_hidden_support,0,2,uncertainty_only_budget,4,7,0.00000,0.14286,0.75000,3.71525,1.00000,0.00000,0.47948,0.09010
combined_hard_shift,cluttered_pick_hidden_support,0,3,full_embodied_consequence_budgeting,4,8,1.00000,0.50000,0.00000,3.83324,1.00000,0.00000,0.11801,0.15094
combined_hard_shift,cluttered_pick_hidden_support,0,3,minus_physical_consequence_estimator,4,8,0.00000,0.25000,0.50000,3.82523,1.00000,0.00000,0.52449,0.05301
