split,method,seed,rows,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
combined_hard_shift,full_embodied_consequence_budgeting,0,168,0.68452,0.55618,0.04812,3.32137,0.29762,0.19048,0.10640,0.14245
combined_hard_shift,full_embodied_consequence_budgeting,1,168,0.69643,0.55239,0.05268,3.30865,0.30952,0.14286,0.10865,0.14370
combined_hard_shift,full_embodied_consequence_budgeting,2,168,0.66667,0.56113,0.07381,3.33053,0.34524,0.17262,0.10517,0.14181
combined_hard_shift,full_embodied_consequence_budgeting,3,168,0.76190,0.54622,0.05407,3.32562,0.30357,0.16667,0.11079,0.14403
combined_hard_shift,full_embodied_consequence_budgeting,4,168,0.71429,0.56568,0.06151,3.30128,0.26190,0.18452,0.10266,0.14440
combined_hard_shift,full_embodied_consequence_budgeting,5,168,0.63690,0.56334,0.07361,3.33702,0.40476,0.12500,0.10704,0.14054
combined_hard_shift,full_embodied_consequence_budgeting,6,168,0.69048,0.58660,0.07202,3.34824,0.35119,0.16071,0.09757,0.13872
combined_hard_shift,minus_action_critical_contact_map,0,168,0.61310,0.52634,0.08631,3.32905,0.31548,0.18452,0.13515,0.13830
combined_hard_shift,minus_action_critical_contact_map,1,168,0.67857,0.51864,0.08770,3.30366,0.30357,0.17857,0.13909,0.13890
combined_hard_shift,minus_action_critical_contact_map,2,168,0.70833,0.52980,0.09940,3.29393,0.27976,0.14286,0.13060,0.13982
combined_hard_shift,minus_action_critical_contact_map,3,168,0.75000,0.52824,0.07540,3.34056,0.33929,0.13690,0.13148,0.13905
combined_hard_shift,minus_action_critical_contact_map,4,168,0.78571,0.53363,0.09643,3.29836,0.26786,0.14881,0.12965,0.14101
combined_hard_shift,minus_action_critical_contact_map,5,168,0.68452,0.53567,0.10258,3.36824,0.42857,0.11905,0.13014,0.13560
combined_hard_shift,minus_action_critical_contact_map,6,168,0.71429,0.55723,0.08790,3.30685,0.26190,0.16667,0.12250,0.13657
combined_hard_shift,minus_compute_latency_constraint,0,168,0.66667,0.54917,0.03819,3.31919,0.27976,0.11310,0.10675,0.14341
combined_hard_shift,minus_compute_latency_constraint,1,168,0.69048,0.54518,0.04415,3.31634,0.30357,0.12500,0.10744,0.14488
combined_hard_shift,minus_compute_latency_constraint,2,168,0.69643,0.56156,0.05853,3.33027,0.33333,0.17262,0.10276,0.14283
combined_hard_shift,minus_compute_latency_constraint,3,168,0.67262,0.54353,0.03522,3.31445,0.29762,0.19643,0.10778,0.14539
combined_hard_shift,minus_compute_latency_constraint,4,168,0.70238,0.56471,0.05109,3.31232,0.29762,0.13095,0.10101,0.14423
combined_hard_shift,minus_compute_latency_constraint,5,168,0.64881,0.55408,0.05804,3.32828,0.36310,0.13690,0.10430,0.14286
combined_hard_shift,minus_compute_latency_constraint,6,168,0.74405,0.57820,0.05863,3.32654,0.32738,0.21429,0.09725,0.14112
combined_hard_shift,minus_physical_consequence_estimator,0,168,0.19643,0.15726,0.67560,3.32075,0.24405,0.41071,0.52537,0.05718
combined_hard_shift,minus_physical_consequence_estimator,1,168,0.26190,0.16227,0.68353,3.32238,0.30357,0.30357,0.52339,0.05354
combined_hard_shift,minus_physical_consequence_estimator,2,168,0.29762,0.16980,0.65774,3.31250,0.27381,0.28571,0.48286,0.06328
combined_hard_shift,minus_physical_consequence_estimator,3,168,0.20833,0.15977,0.67212,3.31988,0.29762,0.35714,0.51032,0.05689
combined_hard_shift,minus_physical_consequence_estimator,4,168,0.23214,0.15276,0.70714,3.34624,0.33929,0.31548,0.52499,0.05486
combined_hard_shift,minus_physical_consequence_estimator,5,168,0.22024,0.16839,0.65814,3.36414,0.38690,0.33333,0.49776,0.05691
combined_hard_shift,minus_physical_consequence_estimator,6,168,0.20833,0.18245,0.65823,3.36125,0.35119,0.38690,0.48110,0.05997
combined_hard_shift,minus_safety_hazard_term,0,168,0.68452,0.53587,0.07242,3.33427,0.27381,0.19048,0.12615,0.13657
combined_hard_shift,minus_safety_hazard_term,1,168,0.75000,0.53654,0.06538,3.32680,0.32738,0.23810,0.12496,0.13897
combined_hard_shift,minus_safety_hazard_term,2,168,0.67857,0.54918,0.08135,3.32248,0.32143,0.18452,0.12159,0.13717
combined_hard_shift,minus_safety_hazard_term,3,168,0.67857,0.53606,0.05456,3.30658,0.28571,0.19048,0.12223,0.14031
combined_hard_shift,minus_safety_hazard_term,4,168,0.67857,0.54570,0.08135,3.31474,0.27381,0.16071,0.12057,0.13856
combined_hard_shift,minus_safety_hazard_term,5,168,0.67262,0.54416,0.08591,3.36370,0.43452,0.19643,0.12104,0.13622
combined_hard_shift,minus_safety_hazard_term,6,168,0.72024,0.56576,0.08492,3.31943,0.31548,0.18452,0.11289,0.13692
combined_hard_shift,token_salience_only_budget,0,168,0.07143,0.02915,0.93750,3.35159,0.35119,0.45833,0.73116,0.02113
combined_hard_shift,token_salience_only_budget,1,168,0.05357,0.02030,0.95982,3.34161,0.34524,0.37500,0.75524,0.01978
combined_hard_shift,token_salience_only_budget,2,168,0.05952,0.01750,0.96230,3.34710,0.33929,0.41071,0.73763,0.02162
combined_hard_shift,token_salience_only_budget,3,168,0.06548,0.02600,0.94841,3.34793,0.29762,0.41071,0.74308,0.02360
combined_hard_shift,token_salience_only_budget,4,168,0.05357,0.02814,0.95189,3.34846,0.32738,0.41667,0.73237,0.02353
combined_hard_shift,token_salience_only_budget,5,168,0.08929,0.03135,0.93750,3.32662,0.31548,0.44048,0.72372,0.02139
combined_hard_shift,token_salience_only_budget,6,168,0.04762,0.01842,0.96429,3.33585,0.33333,0.40476,0.74984,0.02180
combined_hard_shift,uncertainty_only_budget,0,168,0.23810,0.15125,0.68403,3.35261,0.30357,0.36905,0.53857,0.05293
combined_hard_shift,uncertainty_only_budget,1,168,0.17857,0.14861,0.69544,3.38241,0.41667,0.33333,0.54681,0.04472
combined_hard_shift,uncertainty_only_budget,2,168,0.22024,0.14389,0.70040,3.33529,0.27976,0.32143,0.53105,0.05092
combined_hard_shift,uncertainty_only_budget,3,168,0.23810,0.14646,0.68949,3.36836,0.36905,0.33333,0.53852,0.04833
combined_hard_shift,uncertainty_only_budget,4,168,0.23810,0.14342,0.71032,3.36575,0.36905,0.28571,0.53226,0.05197
combined_hard_shift,uncertainty_only_budget,5,168,0.20833,0.14645,0.69891,3.34524,0.29167,0.31548,0.53630,0.05038
combined_hard_shift,uncertainty_only_budget,6,168,0.26786,0.15956,0.69296,3.36492,0.35119,0.36310,0.51785,0.05388
