stress_axis,stress_level,method,task_success,ci95_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation
visual_distractor_load,0.0,token_salience_transformer,0.16786,0.02771,0.07730,0.78396,3.33515,0.31964,0.40000
visual_distractor_load,0.0,uncertainty_attention,0.25893,0.02763,0.15877,0.55685,3.36070,0.35714,0.33036
visual_distractor_load,0.0,active_perception_value,0.53750,0.05128,0.37573,0.06806,3.33780,0.34286,0.23214
visual_distractor_load,0.0,compute_adaptive_policy,0.41607,0.03104,0.29158,0.32792,3.33149,0.36786,0.29107
visual_distractor_load,0.0,risk_aware_attention,0.57143,0.02914,0.38380,0.05559,3.33963,0.35893,0.24643
visual_distractor_load,0.0,embodied_consequence_budgeting,0.58393,0.02491,0.40843,0.03342,3.33032,0.35714,0.19464
visual_distractor_load,0.0,oracle_consequence_attention,0.61071,0.05084,0.40815,0.03018,3.33305,0.35714,0.22500
visual_distractor_load,0.2,token_salience_transformer,0.10714,0.03417,0.04470,0.89256,3.34329,0.32857,0.40536
visual_distractor_load,0.2,uncertainty_attention,0.23393,0.02051,0.14460,0.64182,3.36099,0.36964,0.33571
visual_distractor_load,0.2,active_perception_value,0.57679,0.05769,0.42497,0.09366,3.31426,0.32321,0.22143
visual_distractor_load,0.2,compute_adaptive_policy,0.38036,0.02771,0.29748,0.40042,3.31545,0.33393,0.28750
visual_distractor_load,0.2,risk_aware_attention,0.60714,0.04306,0.43424,0.07997,3.32098,0.34464,0.25179
visual_distractor_load,0.2,embodied_consequence_budgeting,0.63214,0.03620,0.47348,0.04298,3.32008,0.35714,0.16964
visual_distractor_load,0.2,oracle_consequence_attention,0.67143,0.04200,0.47577,0.03562,3.31273,0.33929,0.20714
visual_distractor_load,0.4,token_salience_transformer,0.08393,0.01578,0.03082,0.92842,3.33594,0.31607,0.40179
visual_distractor_load,0.4,uncertainty_attention,0.22321,0.02357,0.14291,0.67976,3.36900,0.35357,0.35714
